01  CENTRO**01-02 EMBAJADORES**Línea**3**-3.7049186**40.4085773**EMBAJADORES, CALLE, DE,31
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7002452**40.4098916**ESCUADRA, CALLE, DE LA,12
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7002682**40.4101757**ESPERANZA, CALLE, DE,6
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7075078**40.4124424**ESTUDIOS, CALLE, DE LOS,2
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7028334**40.4110442**LAVAPIES, CALLE, DE,18
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7090906**40.4102499**LOPEZ SILVA, CALLE, DE,2
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7021043**40.4069299**MESON DE PAREDES, CALLE, DEL,73
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7017017**40.4121161**OLIVAR, CALLE, DEL,4
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7111866**40.4070304**PUERTA DE TOLEDO, GLORIETA, DE LA,1
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7072766**40.4087081**RIBERA DE CURTIDORES, CALLE, DE LA,19
01  CENTRO**01-02 EMBAJADORES**Línea**2**-3.6980313**40.409849**SALITRE, CALLE, DEL,9
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.6990924**40.4089974**SALITRE, CALLE, DEL,31
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7023738**40.4103092**SAN CARLOS, CALLE, DE,1
01  CENTRO**01-02 EMBAJADORES**Línea**2**-3.6969229**40.4107905**SAN ILDEFONSO, CALLE, DE,7
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7081216**40.4099779**SANTA ANA, CALLE, DE,9
01  CENTRO**01-02 EMBAJADORES**Línea**2**-3.6985681**40.4111857**SANTA ISABEL, CALLE, DE,7
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.6974341**40.4101474**SANTA ISABEL, CALLE, DE,42
01  CENTRO**01-02 EMBAJADORES**Batería**1**-3.6960977**40.4095607**SANTA ISABEL, CALLE, DE,47
01  CENTRO**01-02 EMBAJADORES**Batería**1**-3.6949604**40.4090082**SANTA ISABEL, CALLE, DE,50
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.6982032**40.4078959**SOMBRERERIA, CALLE, DE LA,24
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.6992562**40.407629**SOMBRERERIA, CALLE, DE LA,14 A
